movieCd,movieNm,openDt,genre,nation,first_scrn,first_show,first_date,peak,first_week_audi,total_audi,days_in_top10
20262383,쉘터,20260415,액션|스릴러,미국,174,298,20260415,0,17896,17896,7
20259339,힌드의 목소리,20260415,드라마,프랑스,116,145,20260415,0,4991,12346,4
20250411,미야자키 하야오의 그대들은 어떻게 살 것인가,20260415,다큐멘터리,일본,78,96,20260421,0,798,6091,1
20262811,"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",20260416,애니메이션,일본,100,136,20260416,0,2920,2920,1
20262907,고트: 더 레전드,20260417,애니메이션|액션|어드벤처|코미디,미국,339,423,20260417,0,20628,30056,7
20262639,노멀,20260417,범죄|액션|스릴러,미국,129,246,20260417,0,11651,15602,7
20240532,짱구,20260422,드라마,한국,13,14,20260416,0,192829,407791,29
20262685,란 12.3,20260422,다큐멘터리,한국,842,2156,20260422,0,147897,234543,21
20262657,리 크로닌의 미이라,20260422,공포(호러),미국,368,610,20260422,0,32417,33691,7
20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,20260422,애니메이션,일본,90,149,20260422,0,21189,41274,14
20262776,르누아르,20260422,드라마,일본|프랑스,127,239,20260422,0,5410,13670,2
20088147,줄무늬 파자마를 입은 소년,20260423,드라마|전쟁,영국|미국,153,213,20260423,0,3270,3604,1
20259791,악마는 프라다를 입는다 2,20260429,드라마,미국,3,4,20260427,0,959115,1590300,36
20259773,슈퍼 마리오 갤럭시,20260429,애니메이션,미국,1166,4173,20260429,0,1107652,1633044,34
20263327,사랑의 하츄핑 특별판,20260501,애니메이션,한국,295,352,20260501,0,10572,12323,4
20262906,극장판 반짝반짝 달님이: 싱어롱 파티,20260501,애니메이션,한국,164,235,20260503,0,4175,9515,2
20262947,모탈 컴뱃 2,20260506,액션|어드벤처|판타지,미국,365,592,20260506,0,14267,14433,7
20261943,올 그린스,20260506,드라마|범죄,일본,133,201,20260506,0,3976,7695,3
20259626,마이클,20260513,드라마,미국,34,34,20260430,0,726988,1615847,45
20252801,교생실습,20260513,코미디|공포(호러),한국,253,394,20260513,0,19928,22022,5
20262975,신극장판 은혼: 요시와라 대염상,20260520,애니메이션,일본,440,901,20260520,0,50274,70388,11
20263344,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,20260520,코미디|어드벤처|SF,캐나다,155,273,20260520,0,27877,81338,21
20262972,남태령,20260520,다큐멘터리,한국,54,64,20260526,0,706,4761,1
20252402,군체,20260521,액션|스릴러,한국,9,9,20260518,0,2378091,5951761,72
20263253,극장판 내 마음의 위험한 녀석,20260521,애니메이션,일본,115,205,20260521,0,15740,15740,4
20263222,극장판 호빵맨: 세균맨과 그림책의 루룬,20260523,애니메이션,일본,221,372,20260523,0,18745,30336,5
20263363,리마인더스 오브 힘,20260527,드라마|멜로/로맨스,미국,17,17,20260521,0,3000,3000,1
20263030,백룸,20260527,공포(호러)|스릴러,미국,688,1609,20260527,0,458110,1211546,49
20258236,만달로리안과 그로구,20260527,액션|어드벤처,미국,809,2103,20260527,0,137215,221481,22
20258837,뒷자리에 태워줘,20260527,드라마,영국,155,201,20260527,0,5394,15323,4
20263644,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,20260527,공연,일본,21,21,20260527,0,1279,1279,1
20263521,카드캡터 체리 극장판,20260528,애니메이션,일본,162,238,20260528,0,4456,4456,1
20263512,이상한 과자 가게 전천당,20260529,판타지|드라마,한국,485,738,20260529,0,95761,159163,14
20248252,와일드 씽,20260603,코미디,한국,8,9,20260518,0,603704,1344042,50
20263761,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,20260603,공연,한국,62,112,20260603,0,20480,28218,5
20263272,돌핀보이: 푸른 바다의 수호자,20260603,애니메이션,독일,222,242,20260603,0,11807,13617,3
20263262,맘보 점보,20260603,애니메이션,덴마크,34,34,20260609,0,1166,6125,1
20258725,순례자들은 왜 돌아오지 않는가,20260603,애니메이션,한국,45,47,20260611,0,0,9645,1
20263941,마스터즈 오브 유니버스,20260605,액션|어드벤처|판타지|SF,미국,214,281,20260605,0,12842,12968,5
20261766,상자 속의 양,20260610,드라마|SF,일본,32,32,20260528,0,46067,67801,16
20250655,디스클로저 데이,20260610,SF|미스터리,미국,1072,2962,20260610,0,214165,250842,15
20248484,신사: 악귀의 속삭임,20260617,공포(호러)|미스터리,한국,4,5,20260608,0,37344,45711,10
20259781,토이 스토리 5,20260617,애니메이션|어드벤처|코미디,미국,2,3,20260611,0,991572,2942352,57
20242402,눈동자,20260624,스릴러,한국,13,13,20260615,0,382443,1540233,43
20258945,너만 보이는 날,20260624,멜로/로맨스,중국,6,6,20260616,0,9902,15968,5
20250489,슈퍼걸,20260624,액션|어드벤처,미국,883,2916,20260624,0,123387,135798,11
20261524,짝사랑 세계,20260624,드라마|멜로/로맨스,일본,150,275,20260624,0,12228,23203,7
20264241,정동원 팬콘서트 필름 : 다시 만나는 길,20260626,공연,한국,43,79,20260626,0,10316,10316,5
20264352,앤팀 브이알 콘서트 : 바운드리스,20260626,드라마,한국,1,8,20260706,0,0,8609,1
20263948,에픽: 엘비스 프레슬리 콘서트,20260701,공연|다큐멘터리,미국,26,26,20260618,1,9865,9991,2
20263530,마티 슈프림,20260701,드라마,미국,738,1625,20260701,1,79893,131844,27
20264056,그린랜드 2: 마이그레이션,20260701,액션|SF,영국,378,733,20260701,1,40781,53889,10
20264027,극장판 도라에몽: 신 진구의 해저비밀성,20260701,애니메이션,일본,141,538,20260701,1,42241,69574,13
20264427,극장판 암살교실 모두의 시간,20260701,애니메이션,일본,143,214,20260701,1,19877,19877,7
20264718,블리치 천년혈전 편 : 화진담,20260704,애니메이션|액션|판타지,일본,10,12,20260717,1,0,13980,3
20259946,모아나,20260708,어드벤처|액션,미국,1374,5260,20260708,1,565882,1022927,33
20262651,하나 코리아,20260708,드라마,한국,170,228,20260708,1,7768,12896,4
20261410,키퍼,20260708,공포(호러),캐나다,119,194,20260708,1,3439,3439,2
20261467,시크릿 에이전트,20260708,드라마|범죄,브라질,83,93,20260708,1,1742,2779,1
20262902,다윗,20260710,애니메이션,남아프리카공화국|미국,87,87,20260705,1,82372,299942,37
20233219,호프,20260715,SF|스릴러|액션,한국,27,27,20260711,1,2401055,4500029,41
20261784,미니언즈 & 몬스터즈,20260715,애니메이션,미국,851,2448,20260715,1,406423,773600,31
20259551,파리의 사생활,20260715,드라마,영국,30,32,20260716,1,942,3736,2
