날짜,식사,메뉴
20260526,중식,칼슘강화기장밥|김치어묵국|망고야채샐러드|진미채고추장볶음|등심돈가스소스|깍두기|과일생크림찹쌀떡
20260527,석식,백미밥|우거지해장국|연근조림|온두부김치볶음|꽈배기|타코야끼|깍두기
20260527,중식,친환경차수수밥|소고기무국|매콤콩나물무침|주꾸미볶음|배추김치|딸기맛요구르트|콘치즈버터구이
20260528,석식,나물비빔밥고추장|미소국|무생채|계란후라이|반달스테이크소스|깍두기|푸딩
20260528,중식,친환경강황밥|소보로토스트|꽃만두국|시금치나물|제육볶음|명엽채볶음|총각김치
20260529,중식,순살양념치밥|고명장국|사과치커리생채|배식용김|고구마함박소스|배추김치|후레쉬업(레몬라임)
20260601,석식,백미밥|참치김치찌개|돈육장조림|매운어묵꼬치(소스)|숙주나물무침|깍두기|후레쉬업(레몬라임)
20260601,중식,친환경칼슘기장밥|초코케이크|소고기미역국|돈사태김치찜|올방개묵김가루무침|고구마야채튀김|총각김치
20260602,석식,자장밥|팽이장국|고추잡채/꽃빵|꼬들단무지무침|계란후라이|배추김치|조각파인애플
20260602,중식,친환경현미밥|오징어무국|두부조림|찜닭(당면)|얼갈이무침|배추김치|초코맛아이스크림
20260604,석식,백미밥|닭곰탕|새송이조림|불닭타코야끼|배식용김|배추김치|포도주스
20260604,중식,칼슘강화귀리밥|돈육감자탕|소시지야채볶음|삼치카레구이|석박지|에그타르트|양상추샐러드(발사믹D)
20260605,중식,추가밥|초코파이|물비빔쫄면|연근조림|쌈무생채|돈육불백|배추김치
20260608,석식,백미밥|우거지해장국|연두부양념장|오이생채|가자미순살튀김|석박지|메이플피칸파이
20260608,중식,친환경칼슘기장밥|북어국|야채달걀찜|제육볶음|배추김치|브로콜리초장|초코우유
20260609,석식,백미밥|설렁탕소면|오징어초무침g|부추야채전|배추김치|귤맛아이스크림|포도맛아이스크림
20260609,중식,친환경잡곡밥|순두부짬뽕국|채식물만두양념장|순살해물아귀찜|시금치나물|배추김치|달콤한토마토
20260610,석식,열무비빔밥|두부된장국|애호박볶음|피자핫도그|배추김치|아이스망고
20260610,중식,소고기우엉볶음밥|김치국|진미채고추장볶음|닭꼬치양념치킨소스|깍두기|감말랭이야채샐러드
