common_name,class,order,adult_weight_g,max_longevity_yrs,metabolic_rate_w,body_mass_g,female_maturity_days,gestation_days,litter_size,body_temp_k
Rainbow boa,Reptilia,Squamata,1306.0,31.0,,,,,,
Dark-spotted anaconda,Reptilia,Squamata,,23.2,,,,,,
Green anaconda,Reptilia,Squamata,97500.0,31.8,,,912.0,,,
Paraguayan anaconda,Reptilia,Squamata,,23.6,,,,,,
Round Island boas,Reptilia,Squamata,,17.8,,,,,,
New Guinea boa,Reptilia,Squamata,384.0,9.9,,,,,,
Pacific tree boa,Reptilia,Squamata,,16.9,,,,,,
Pacific ground boa,Reptilia,Squamata,384.0,16.6,,,,,,
Thick-tailed gecko,Reptilia,Squamata,9.6,12.0,,,,,,
Parson's chameleon,Reptilia,Squamata,,9.0,,,,,,
Common chameleon,Reptilia,Squamata,36.49,3.6,,,,,,
Flapneck chameleon,Reptilia,Squamata,22.31,4.0,,,,30.0,,
Labord's chameleon,Reptilia,Squamata,8.73,1.3,,,60.0,260.0,11.0,
Panther chameleon,Reptilia,Squamata,,5.2,,,,,,
Jackson's chameleon,Reptilia,Squamata,32.565,8.2,,,,190.0,,
Rubber boa,Reptilia,Squamata,219.0,26.5,,,,,,
Rosy boa,Reptilia,Squamata,450.0,31.0,,,,130.0,7.0,
Round-spot banana boa,Reptilia,Squamata,,17.7,,,,,,
Panama wood snake,Reptilia,Squamata,,14.2,,,,,,
Glossy snake,Reptilia,Squamata,2189.0,19.1,,,,,,
Trans-pecos rat snake,Reptilia,Squamata,1839.0,23.8,,,730.0,,5.0,
Blanding's cat snake,Reptilia,Squamata,,12.6,,,,,,
Dog-tooth cat snake,Reptilia,Squamata,8324.0,9.6,,,,,,
"Gold-ringed cat snake, or Mangrove snake",Reptilia,Squamata,6107.0,17.0,,,,,,
Brown tree snake,Reptilia,Squamata,4748.0,13.1,,,,77.0,,
"Common catsnake, or Indian gamma snake",Reptilia,Squamata,,8.2,,,,,,
Scarlet snake,Reptilia,Squamata,219.0,10.4,,,,,,
Banded sand snake,Reptilia,Squamata,6.0,4.0,,,,,,
Mussarana,Reptilia,Squamata,1587.0,11.5,,,,,,
Kirtland's snake,Reptilia,Squamata,91.0,8.4,,,,,,
"Eastern racer, or Northern black racer",Reptilia,Squamata,1594.5,10.0,,,,,,
Palaearctic tail-lined snake,Reptilia,Squamata,,13.8,,,,,,
African egg-eating snake,Reptilia,Squamata,72.25,,,,,,,
East African egg-eating snake,Reptilia,Squamata,72.25,8.6,,,,,,
"Rhombic egg eater, or African egg-eating snake",Reptilia,Squamata,72.25,22.1,,,,,,
Red barded snake,Reptilia,Squamata,,13.7,,,,,,
Boomslang,Reptilia,Squamata,3765.0,8.7,,,,,,
Indigo snake,Reptilia,Squamata,7118.0,25.9,,,,,6.0,
Baird's rat snake,Reptilia,Squamata,,16.3,,,,,,
Japanese rat snake,Reptilia,Squamata,,13.1,,,,,,
Yellow-red/tropical rat snake,Reptilia,Squamata,,16.3,,,,,,
Corn snake,Reptilia,Squamata,900.0,32.3,,,600.0,,12.0,
Trinket snake,Reptilia,Squamata,,15.0,,,730.0,,,
Red-headed rat snake,Reptilia,Squamata,,21.1,,,,,,
Black rat snake,Reptilia,Squamata,,33.9,,,1460.0,,,
Japanese four-lined ratsnake,Reptilia,Squamata,6561.0,16.8,,,1460.0,,,
Russian ratsnake,Reptilia,Squamata,,13.7,,,,,,
European leopard snake,Reptilia,Squamata,,23.0,,,,,,
Taipan beauty snake,Reptilia,Squamata,,11.6,,,,,,
Eastern fox snake,Reptilia,Squamata,2227.0,17.0,,,,,,
"Mud snake, or Western mud snake",Reptilia,Squamata,3454.0,19.0,,,,,,
Red-tailed rat snake,Reptilia,Squamata,5399.0,15.1,,,,,,
"Western hognose snake, or Mexican hognose snake",Reptilia,Squamata,350.0,19.8,,,730.0,56.0,13.0,
Eastern hognose snake,Reptilia,Squamata,601.0,9.1,,,730.0,,,
False water snake,Reptilia,Squamata,,16.9,,,,,,
Night snake,Reptilia,Squamata,104.0,12.2,,,,,,
Gray-banded kingsnake,Reptilia,Squamata,1228.0,19.7,,,,,,
Prairie kingsnake,Reptilia,Squamata,1130.0,23.8,,,1095.0,,,
Common kingsnake,Reptilia,Squamata,2041.0,33.3,,,1095.0,61.0,,
"Mexican kingsnake, or Greer's kingsnake",Reptilia,Squamata,,15.6,,,,,,
Sonoran mountain kingsnake,Reptilia,Squamata,432.0,22.4,,,,,,
Milk snake,Reptilia,Squamata,950.0,22.6,,,,,,
California mountain kingsnake,Reptilia,Squamata,407.0,28.8,,,,,,
African house snake,Reptilia,Squamata,,9.0,,,182.0,,,
"Mexican parrot snake, or Parrot snake",Reptilia,Squamata,,7.7,,,,,,
False smooth snake,Reptilia,Squamata,104.0,5.9,,,,,,
Coachwhip,Reptilia,Squamata,6484.0,20.2,,,,,,
Lapi file snake,Reptilia,Squamata,,10.9,,,,,,
European grass snake,Reptilia,Squamata,96.25,20.0,0.0295,94.2,1460.0,,,290.25
Plainbelly water snake,Reptilia,Squamata,1499.0,14.8,,,,,,
Northern water snake,Reptilia,Squamata,1306.0,9.6,,,730.0,122.0,,
Brown water snake,Reptilia,Squamata,2153.0,6.1,,,,,,
Rough greensnake,Reptilia,Squamata,601.0,7.2,,,730.0,42.0,,
Smooth green snake,Reptilia,Squamata,104.0,6.1,,,,,,
Brown vine snake,Reptilia,Squamata,1359.0,15.2,,,,,,
Gopher snake,Reptilia,Squamata,7275.5,33.8,,,,,,
"Pine snake, or Bull snake",Reptilia,Squamata,6407.0,22.4,,,,,,
Indian rat snake,Reptilia,Squamata,,11.3,,,,,,
Queen snake,Reptilia,Squamata,298.0,19.3,,,1095.0,105.0,,
"Long-nosed snake, or Western long-nosed snake",Reptilia,Squamata,432.0,19.8,,,,,,
Western patch-nosed snake,Reptilia,Squamata,585.0,14.3,,,,,,
Green rat snake,Reptilia,Squamata,753.0,19.8,,,,,,
"Diadem snake, or Diademed snake",Reptilia,Squamata,,17.0,,,547.0,,,
Tropical rat snake,Reptilia,Squamata,3983.0,17.5,,,,,,
Brown snake,Reptilia,Squamata,45.0,7.0,,,730.0,109.0,,
Redbelly snake,Reptilia,Squamata,26.0,4.6,,,730.0,,,
"Common tiger snake, or Eastern tiger snake",Reptilia,Squamata,,7.6,,,,,,
Butler's garter snake,Reptilia,Squamata,125.0,14.0,,,730.0,,12.0,
Western aquatic garter snake,Reptilia,Squamata,958.0,7.7,,,,,,
Eastern blackneck garter snake,Reptilia,Squamata,441.0,10.8,,,,,,
Western terrestrial garter snake,Reptilia,Squamata,400.0,17.8,,,,,,
Checkered garter snake,Reptilia,Squamata,434.0,7.0,,,547.0,,,
Northwestern garter snake,Reptilia,Squamata,329.0,15.8,,,,,,
Plains garter snake,Reptilia,Squamata,512.0,8.4,,,,,,
Eastern ribbonsnake,Reptilia,Squamata,407.0,10.6,,,730.0,,14.0,
Common garter snake,Reptilia,Squamata,150.0,14.0,,,730.0,100.0,,
Western lyresnake,Reptilia,Squamata,682.0,11.8,,,,,,
Pointed snake,Reptilia,Squamata,,18.9,,,,,,
Rough earth snake,Reptilia,Squamata,12.0,7.2,,,730.0,,,
Smooth earth snake,Reptilia,Squamata,22.0,9.5,,,,,,
Armadillo girdled lizard,Reptilia,Squamata,,20.2,,,,,,
"Cape girdled lizard, or Rough-scaled girdled lizard",Reptilia,Squamata,17.3,15.6,,,,,,
Giant spinytail lizard,Reptilia,Squamata,,24.9,,,,,,
Warren's spinytail lizard,Reptilia,Squamata,,19.8,,,,,,
Rough-scaled plated lizard,Reptilia,Squamata,284.0,24.0,,,,,,
Giant plated lizard,Reptilia,Squamata,,17.2,,,,,,
Lesser flat lizard,Reptilia,Squamata,12.2,15.6,,,,,,
Emperor flat lizard,Reptilia,Squamata,,14.0,,,,,,
Green basilisk,Reptilia,Squamata,66.2,13.0,,,,,,
Brown basilisk,Reptilia,Squamata,60.87,9.1,,,228.0,60.0,,
Smooth helmeted iguana,Reptilia,Squamata,43.4,7.1,,,,,,
Eastern casquehead iguana,Reptilia,Squamata,,15.4,,,,,,
Panther anole,Reptilia,Squamata,,7.0,,,,,,
Green anole,Reptilia,Squamata,2.455,7.2,,,259.0,42.0,,
Puerto Rican giant anole,Reptilia,Squamata,46.6,9.2,,,,,,
Knight anole,Reptilia,Squamata,56.0,16.5,,,,,,
"Martinique's anole, or Anole",Reptilia,Squamata,2.415,6.7,,,,,,
Pacific sticky-toed gecko,Reptilia,Squamata,19.6,13.0,,,,,,
Giant gecko,Reptilia,Squamata,118.0,25.0,,,,,,
Forest gecko,Reptilia,Squamata,,21.0,,,,,,
Auckland green gecko,Reptilia,Squamata,,20.0,,,,,,
Jewelled gecko,Reptilia,Squamata,6.63,16.0,,,,,,
Northland green gecko,Reptilia,Squamata,,16.0,,,,,,
Rough scale gecko,Reptilia,Squamata,,13.0,,,,,,
Marbled velvet gecko,Reptilia,Squamata,15.4,21.2,,,,,,
New Caledonia giant gecko,Reptilia,Squamata,,8.5,,,,,,
Gray gecko,Reptilia,Squamata,6.83,37.0,,,,,,
Common death adder,Reptilia,Squamata,384.0,9.3,,,,,,
"Cape coral snake, or Coral snake",Reptilia,Squamata,,9.0,,,,,,
Shieldnose cobra,Reptilia,Squamata,,13.5,,,,,,
Indian krait,Reptilia,Squamata,1154.0,17.4,,,,,,
"Banded krait, or Red-headed krait",Reptilia,Squamata,3113.0,13.2,,,,,,
Many-banded krait,Reptilia,Squamata,1154.0,13.7,,,,,,
Green mamba,Reptilia,Squamata,,18.8,,,,,,
Jameson's mamba,Reptilia,Squamata,19310.0,13.1,,,,,,
Black mamba,Reptilia,Squamata,30758.0,26.2,,,,85.0,,
"Western green mamba, or Green mamba",Reptilia,Squamata,,18.7,,,,,,
Sundevall's garter sanke,Reptilia,Squamata,,11.6,,,,,,
Ringneck spitting cobra,Reptilia,Squamata,,13.0,,,,,,
Western coral snake,Reptilia,Squamata,56.0,17.6,,,,,,
Eastern coral snake,Reptilia,Squamata,682.0,19.0,,,,,,
"Chinese cobra, or Indian spitting cobra, or Golden spitting cobra",Reptilia,Squamata,1849.0,11.7,,,,,,
Egyptian cobra,Reptilia,Squamata,6796.0,22.1,,,,,,
"Indian cobra, or Monocled cobra",Reptilia,Squamata,3113.0,25.4,,,,,,
Black and white cobra,Reptilia,Squamata,6957.0,29.1,,,,,,
Mozambique spitting cobra,Reptilia,Squamata,8787.0,16.7,,,,,,
Indian cobra,Reptilia,Squamata,,32.3,,,,,,
Blackneck spitting cobra,Reptilia,Squamata,8787.0,23.2,,,,,,
Cape cobra,Reptilia,Squamata,,26.0,,,,,,
Red spitting cobra,Reptilia,Squamata,8787.0,20.2,,,,,,
Southeastern philippine cobra,Reptilia,Squamata,,11.4,,,,,,
"Indonesian cobra, or Indian spitting cobra, or Indochinese spitting cobra",Reptilia,Squamata,3113.0,13.5,,,,,,
Mainland tiger snake,Reptilia,Squamata,,14.1,,,288.0,,,
King cobra,Reptilia,Squamata,8000.0,22.5,,,,,,
"Coastal taipan, or Taipan",Reptilia,Squamata,8110.5,15.6,,,294.0,73.0,,
"King grown snake, or King brown snake",Reptilia,Squamata,8144.0,11.1,,,,85.0,,
"Australian black snake, or Australian purplish death adder",Reptilia,Squamata,,11.6,,,372.0,,,
Kenya sand-boa,Reptilia,Squamata,,20.7,,,,,,
Rough-scaled sand-boa,Reptilia,Squamata,,28.2,,,,,,
Caucasian sand-boa,Reptilia,Squamata,196.0,24.7,,,,,,
John's Indian sand-boa,Reptilia,Squamata,,24.4,,,,,,
Tartar sand-boa,Reptilia,Squamata,196.0,24.0,,,,,,
Mexican banded gecko,Reptilia,Squamata,11.2,11.0,,,,,,
Western banded gecko,Reptilia,Squamata,4.56,15.2,,,,,,
Leopard gecko,Reptilia,Squamata,35.53,28.5,,,400.0,55.0,2.0,
African fat-tailed gecko,Reptilia,Squamata,39.17,16.2,,,,,,
Namib sand gecko,Reptilia,Squamata,13.21,10.8,,,,,,
Bibron's gecko,Reptilia,Squamata,12.8,6.1,,,,,,
Marbled gecko,Reptilia,Squamata,3.405,12.8,,,,,,
Oceanic dtella,Reptilia,Squamata,7.9,10.5,,,,,,
Tokay gecko,Reptilia,Squamata,54.13,23.5,,,,,,
Common house gecko,Reptilia,Squamata,3.295,,,,365.0,58.0,2.0,
Mediterranean house gecko,Reptilia,Squamata,2.53,8.4,,,,,,
Prickly gecko,Reptilia,Squamata,2.18,13.6,,,,,,
Seychelles small day gecko,Reptilia,Squamata,3.6,7.4,,,,,,
Blue-tailed day gecko,Reptilia,Squamata,5.0,9.3,,,,,,
Round island day gecko,Reptilia,Squamata,,17.8,,,,,,
Orange-spotted day gecko,Reptilia,Squamata,,7.1,,,,,,
Broad-tailed day gecko,Reptilia,Squamata,2.9,8.7,,,,,,
Striped day gecko,Reptilia,Squamata,3.8,10.0,,,,,,
Madagascar day gecko,Reptilia,Squamata,20.7,13.6,,,,,,
Standing's day gecko,Reptilia,Squamata,214.5,9.6,,,,,,
Seychelles giant day gecko,Reptilia,Squamata,12.35,15.9,,,,,,
Beaded lizard,Reptilia,Squamata,1244.15,34.4,,,,,,
Gila monster,Reptilia,Squamata,553.41,28.9,,,,,,
East Indian tentacled snake,Reptilia,Squamata,131.0,13.6,,,,,,
Chinese water snake,Reptilia,Squamata,,4.2,,,,,,
Marine iguana,Reptilia,Squamata,2227.43,6.4,,,,,,
Fiji banded iguana,Reptilia,Squamata,170.175,5.9,,,,,,
Santa Fe land iguana,Reptilia,Squamata,4200.0,17.1,,,,,,
Galapagos land iguana,Reptilia,Squamata,4728.31,,,,,,,
Baker's spinytail iguana,Reptilia,Squamata,399.4,13.8,,,,,,
Cape spinytail iguana,Reptilia,Squamata,2800.0,9.6,,,,,,
"Motagua spiny-tailed iguana, or Honduran dwarf spiny-tailed iguana",Reptilia,Squamata,,10.2,,,,,,
Western spiny-tailed iguana,Reptilia,Squamata,968.0,8.2,,,,,,
Black iguana,Reptilia,Squamata,1034.0,22.4,,,,,,
Rhinoceros iguana,Reptilia,Squamata,16578.1,22.9,,,2191.0,137.0,,
Andros island iguana,Reptilia,Squamata,6754.63,23.4,,,3652.0,,,
Cayman rock iguana,Reptilia,Squamata,4100.0,47.6,,,2009.0,40.0,,
White cay ground iguana,Reptilia,Squamata,683.0,,,,,,,
Desert iguana,Reptilia,Squamata,69.5,14.6,0.0441,69.5,974.0,,,305.5
Common green iguana,Reptilia,Squamata,1530.0,19.8,,,1640.0,,,
Northern chuckwalla,Reptilia,Squamata,230.39,9.3,,,913.0,35.0,,
Spiny chuckwalla,Reptilia,Squamata,811.7,17.2,,,,,,
Piebald chuckwalla,Reptilia,Squamata,1422.35,11.3,,,,,,
Desert spiny lizard,Reptilia,Squamata,35.21,5.9,,,,,,
Crevice spiny lizard,Reptilia,Squamata,30.94,8.0,,,,,,
Blue spiny lizard,Reptilia,Squamata,29.175,6.7,,,,,,
Fence lizard,Reptilia,Squamata,8.255,,,,1095.0,,,
Gallot's Canary Island lizard,Reptilia,Squamata,27.49,5.6,,,,,,
Simony's Canary Island lizard,Reptilia,Squamata,195.995,5.4,,,,,,
European green lizard,Reptilia,Squamata,21.5,10.0,0.00337,15.7,,,,293.83
Viviparous lizard,Reptilia,Squamata,,11.0,,,730.0,,,
Common wall lizard,Reptilia,Squamata,5.41,10.0,,,,,,
Madeira wall lizard,Reptilia,Squamata,7.29,4.8,,,,,,
Jeweled lizard,Reptilia,Squamata,99.625,17.0,,,912.0,,,
Bibron's mole viper,Reptilia,Squamata,109.0,23.9,,,,,,
Madagascar giant hognose snake,Reptilia,Squamata,,27.2,,,,,,
Stripe-belly sand racer,Reptilia,Squamata,2381.0,5.8,,,,,,
Mole snake,Reptilia,Squamata,,8.3,,,,,,
Rufous beaked snake,Reptilia,Squamata,1528.0,13.3,,,,,,
Northern curly-tailed lizard,Reptilia,Squamata,30.0,10.8,,,,,,
Phymaturus antofagastensis,Reptilia,Squamata,,20.0,,,2191.0,,2.0,
Patagonia mountain lizard,Reptilia,Squamata,,16.0,,,2557.0,,2.0,
Cei's mountain lizard,Reptilia,Squamata,,20.0,,,2922.0,,1.0,
Mexican burrowing python,Reptilia,Squamata,,32.8,,,,,,
Cuvier's Madagascar swift,Reptilia,Squamata,117.7,21.2,,,,,,
Merrem's Madagascar swift,Reptilia,Squamata,45.4,9.3,,,,,,
Colorado desert fringe-toed lizard,Reptilia,Squamata,22.49,8.1,,,,,,
Fan-footed gecko,Reptilia,Squamata,9.3,10.9,,,,,,
Ringed wall gecko,Reptilia,Squamata,16.605,11.8,,,,,,
Common wall gecko,Reptilia,Squamata,6.54,14.0,,,,,,
Children's python,Reptilia,Squamata,384.0,25.7,,,,55.0,,
Black-headed python,Reptilia,Squamata,6107.0,22.6,,,,71.0,,
Bismarck ringed python,Reptilia,Squamata,2009.0,22.2,,,,72.0,,
D'albert's python,Reptilia,Squamata,8133.5,18.0,,,,66.0,,
Brown water python,Reptilia,Squamata,10592.0,26.8,,,,67.0,,
Macklot's python,Reptilia,Squamata,,17.4,,,,73.0,,
Scrub python,Reptilia,Squamata,,13.8,,,,,,
Boelen's python,Reptilia,Squamata,,20.1,,,,,,
Carpet python,Reptilia,Squamata,15926.0,19.6,,,,63.0,,
Green tree python,Reptilia,Squamata,3113.0,20.6,,,,56.0,,
Blood python,Reptilia,Squamata,8144.0,27.8,,,,,,
Indian python,Reptilia,Squamata,12370.0,34.2,1.2661,12370.0,1095.0,100.0,40.0,303.0
Ball python,Reptilia,Squamata,8858.0,47.5,,,1825.0,77.0,7.0,
Reticulated python,Reptilia,Squamata,32000.0,29.4,2.7349,32000.0,,,,297.5
African rock python,Reptilia,Squamata,73000.0,27.3,,,1461.0,72.0,,
Timor python,Reptilia,Squamata,,20.5,,,,,,
Dumeril's ground boa,Reptilia,Squamata,,26.0,,,,,,
Madagascar boa,Reptilia,Squamata,,28.4,,,,,,
Madagascar tree boa,Reptilia,Squamata,,21.8,,,,,,
Palaearctic eyed skink,Reptilia,Squamata,39.1,14.0,,,,,,
Solomon Island skink,Reptilia,Squamata,1013.7,24.3,,,,,,
Mcgregor's skink,Reptilia,Squamata,,20.0,,,,,,
Cunningham's skink,Reptilia,Squamata,262.64,26.5,,,,,,
Hosmer's skink,Reptilia,Squamata,,24.5,,,,,,
Mourning skink,Reptilia,Squamata,,18.2,,,,,,
Land mullet,Reptilia,Squamata,,10.8,,,,,,
Gidgee skink,Reptilia,Squamata,198.76,18.2,,,,,,
Algerian skink,Reptilia,Squamata,85.4,22.8,,,,,,
Broadhead skink,Reptilia,Squamata,,7.7,,,,,,
Great Plains skink,Reptilia,Squamata,30.0,7.3,0.0206,30.0,,,,300.5
Pink-tongued skink,Reptilia,Squamata,,12.9,,,,,,
Grand skink,Reptilia,Squamata,19.4,,,,,,,
Otago skink,Reptilia,Squamata,40.64,44.0,,,,,,
Great moluccan skink,Reptilia,Squamata,,17.3,,,,,,
Australian black and yellow skink,Reptilia,Squamata,562.475,11.5,,,,,,
Australian blue-tongued lizard,Reptilia,Squamata,493.0,26.6,0.2127,493.0,,,10.0,303.0
Shingleback skink,Reptilia,Squamata,,20.9,,,,,,
Yellowhead gecko,Reptilia,Squamata,1.865,5.6,,,,,,
Common wonder gecko,Reptilia,Squamata,16.235,12.6,,,,,,
Giant ameiva,Reptilia,Squamata,68.0,4.6,,,244.0,152.0,,
Six-lined racerunner,Reptilia,Squamata,7.9,6.0,,,,,,
Western whiptail,Reptilia,Squamata,18.0,7.8,0.017,18.0,,,,304.25
Guyana caiman lizard,Reptilia,Squamata,1500.0,9.3,,,,,,
Red tegu,Reptilia,Squamata,,10.8,,,,,,
Columbian tegu,Reptilia,Squamata,1773.51,16.1,,,,,,
"Bahama-wood snake, or Dwarf boa",Reptilia,Squamata,,16.1,,,,,,
Cayman islands dwarf boa,Reptilia,Squamata,,25.9,,,,,,
Haitian dwarf boa,Reptilia,Squamata,,15.3,,,,,,
Bengal monitor,Reptilia,Squamata,3750.0,11.2,,,1004.0,183.0,,
Dumeril monitor,Reptilia,Squamata,988.0,10.7,,,,,,
Bosc's monitor and Savannah monitor,Reptilia,Squamata,35500.0,12.7,,,,,,
Perentie,Reptilia,Squamata,5333.4,19.7,,,,,,
Sand monitor,Reptilia,Squamata,671.92,18.3,,,,,,
Desert monitor,Reptilia,Squamata,821.1,17.0,,,1644.0,,,
"Indian monitor lizard, or Indian monitor",Reptilia,Squamata,1287.0,17.4,,,578.0,,,
Komodo dragon,Reptilia,Squamata,87000.0,62.0,,,1825.0,49.0,22.0,
Merten's water monitor,Reptilia,Squamata,1121.2,20.3,,,,,,
Nile monitor,Reptilia,Squamata,2826.67,14.6,,,1278.0,,,
Gray's monitor lizard,Reptilia,Squamata,4141.37,15.2,,,,,,
New Guinea green tree monitor,Reptilia,Squamata,237.5,14.2,,,,,,
Common water monitor,Reptilia,Squamata,4345.0,15.7,,,,,,
Spotted tree monitor,Reptilia,Squamata,290.0,14.9,,,,,,
Lace monitor,Reptilia,Squamata,4300.0,14.7,,,,,,
"Mexican moccasin, or Cantil",Reptilia,Squamata,,24.3,,,,,,
Northern copperhead,Reptilia,Squamata,950.0,29.8,,,730.0,108.0,6.0,
Water moccasin,Reptilia,Squamata,1700.0,24.5,,,1095.0,152.0,8.0,
Jumping pit viper,Reptilia,Squamata,,19.0,,,,,,
Picado's pit viper,Reptilia,Squamata,,13.0,,,,,,
Puff adder,Reptilia,Squamata,2381.0,15.8,,,,,,
Gaboon viper,Reptilia,Squamata,2381.0,18.0,,,,,,
Rhinoceros viper,Reptilia,Squamata,717.0,9.4,,,,,,
Yellow-blotched palm pit viper,Reptilia,Squamata,,13.7,,,,,,
Side-striped palm pit viper,Reptilia,Squamata,,12.5,,,,,,
Rowley's palm pit viper,Reptilia,Squamata,,12.8,,,,,,
Eyelash palm pit viper,Reptilia,Squamata,,19.5,,,,,,
Urutu,Reptilia,Squamata,848.0,15.2,,,,,,
"Terciopelo, or Fer-de-lance",Reptilia,Squamata,1037.0,20.4,,,,,,
Common lancehead,Reptilia,Squamata,1037.0,8.5,,,,,,
Saint Lucia lancehead,Reptilia,Squamata,,14.4,,,,,,
Jararaca,Reptilia,Squamata,,,,,,,,
Martinique lancehead,Reptilia,Squamata,,13.0,,,,,,
Yara,Reptilia,Squamata,131.0,15.1,,,,,,
Cape viper,Reptilia,Squamata,308.0,6.6,,,,,,
Desert horned viper,Reptilia,Squamata,,18.0,,,,,,
Godman's montane pit viper,Reptilia,Squamata,,15.8,,,,,,
Eastern diamondback rattlesnake,Reptilia,Squamata,5675.0,22.8,,,,,,
Western diamond-backed rattlesnake,Reptilia,Squamata,6700.0,27.0,,,1095.0,167.0,14.0,
Mexican West-Coast rattlesnake,Reptilia,Squamata,,16.0,,,,,,
Saint Catalina rattlesnake,Reptilia,Squamata,,11.8,,,,,,
Sidewinder,Reptilia,Squamata,211.0,27.3,,,,,,
Cascabel rattlesnake,Reptilia,Squamata,1150.0,19.8,,,1095.0,120.0,6.0,
Lower california rattlesnake,Reptilia,Squamata,,17.1,,,,,,
Timber rattlesnake,Reptilia,Squamata,1000.0,30.2,,,2555.0,135.0,9.0,
"Rock rattlesnake, or New Mexico banded rock rattlesnake",Reptilia,Squamata,219.0,33.6,,,,,,
"Speckled rattlesnake, or Southwestern speckled rattlesnake",Reptilia,Squamata,,22.0,,,,,,
Northern black-tailed rattlesnake,Reptilia,Squamata,771.0,20.7,,,,,,
Twin-spotted rattlesnake,Reptilia,Squamata,104.0,15.7,,,,,,
Red diamond rattlesnake,Reptilia,Squamata,3661.0,19.2,,,,,,
Mojave rattlesnake,Reptilia,Squamata,828.0,14.4,,,,,,
Tiger rattlesnake,Reptilia,Squamata,279.0,15.3,,,,,,
Tortuga Island rattlesnake,Reptilia,Squamata,,18.3,,,,,,
Uracoan rattlesnake,Reptilia,Squamata,,19.8,,,,,,
"Prairie rattlesnake, or Southern Pacific rattlesnake",Reptilia,Squamata,1647.0,24.1,,,,,,
"Ridge-nosed rattlesnake, or Arizona ridge-nosed rattlesnake",Reptilia,Squamata,100.0,21.3,,,,,,
Russell's viper,Reptilia,Squamata,1306.0,15.0,,,,,,
Saw-scaled viper,Reptilia,Squamata,142.0,23.8,,,,,,
Palestine saw-scaled viper,Reptilia,Squamata,,28.3,,,,,,
Mcmahon's viper,Reptilia,Squamata,,14.6,,,,,,
Japanese mamushi,Reptilia,Squamata,,13.8,,,,,,
Bushmaster,Reptilia,Squamata,5817.0,31.6,,,1460.0,77.0,10.0,
Levantine viper,Reptilia,Squamata,1306.0,13.3,,,,,,
Black-tailed montane pit viper,Reptilia,Squamata,,17.1,,,,,,
Mexican horned pit viper,Reptilia,Squamata,,14.9,,,,,,
Okinawan habu,Reptilia,Squamata,,19.0,,,,,,
Persian horned viper,Reptilia,Squamata,,17.1,,,,,,
Massasauga,Reptilia,Squamata,384.0,20.0,,,1100.0,107.0,8.0,
Pigmy rattlesnake,Reptilia,Squamata,196.0,16.1,,,,,,
Pygmy rattlesnake,Reptilia,Squamata,,14.8,,,,,,
White-lipped tree viper,Reptilia,Squamata,414.5,11.4,,,,,,
Yellow-spotted pit viper,Reptilia,Squamata,,24.9,,,,,,
Indian green tree viper,Reptilia,Squamata,,8.4,,,,,,
Pope's pit viper,Reptilia,Squamata,,14.0,,,,,,
Stejneger's pit viper,Reptilia,Squamata,540.0,,,,,,,
Long-nosed viper,Reptilia,Squamata,220.0,22.0,,,1460.0,,,
Asp viper,Reptilia,Squamata,161.0,25.0,,,1460.0,,,
Northern palaearctic viper,Reptilia,Squamata,279.0,19.0,,,,730.0,,
Lataste's viper,Reptilia,Squamata,161.0,9.7,,,,,,
Armenian viper,Reptilia,Squamata,,10.7,,,,,,
Palestine viper,Reptilia,Squamata,,16.4,,,,,,
Yellow-spotted night lizard,Reptilia,Squamata,11.3,11.0,,,,,,
Granite night lizard,Reptilia,Squamata,4.02,14.3,,,,,,
Island night lizard,Reptilia,Squamata,14.66,13.9,,,,98.0,,
Desert night lizard,Reptilia,Squamata,1.475,10.9,,,,,,
Sunbeam snake,Reptilia,Squamata,753.0,12.1,,,,,,
Pignose turtle,Reptilia,Testudines,16275.0,38.4,,,,,,
Common snake-necked turtle,Reptilia,Testudines,1293.0,37.0,,,,,,
"Northern snake-necked turtle, or Oblong snakeneck turtle",Reptilia,Testudines,1174.75,,,,,,,
Mata mata,Reptilia,Testudines,4407.0,35.8,,,,,,
Northern Australian snapping turtle,Reptilia,Testudines,4295.0,21.8,,,,,,
Krefft's river turtle,Reptilia,Testudines,,15.8,,,,,,
Macquarie turtle,Reptilia,Testudines,1740.0,20.9,,,,,,
Dahl's toad-headed turtle,Reptilia,Testudines,777.0,27.4,,,,,,
Serrated snapping turtle,Reptilia,Testudines,1377.0,26.5,,,,,,
Geoffrey's sideneck turtle,Reptilia,Testudines,,37.5,,,,,,
Hilaire's side-necked turtle,Reptilia,Testudines,2380.0,37.4,,,,,,
Twistneck turtle,Reptilia,Testudines,325.0,20.0,,,,,,
Loggerhead sea turtle,Reptilia,Testudines,156500.0,77.0,,,3650.0,60.0,115.0,
Green sea turtle,Reptilia,Testudines,160000.0,75.0,,,3650.0,59.0,150.0,
Hawksbill,Reptilia,Testudines,67000.0,,,,1277.0,60.0,,
Atlantic ridley,Reptilia,Testudines,40500.0,30.2,,,2190.0,60.0,110.0,
Common snapping turtle,Reptilia,Testudines,10250.0,47.0,,,3285.0,,,
Alligator snapping turtle,Reptilia,Testudines,58500.0,70.3,,,4015.0,120.0,30.0,
Central american river turtle,Reptilia,Testudines,12500.0,11.3,,,,,,
Leatherback sea turtle,Reptilia,Testudines,420000.0,30.0,,,4748.0,60.0,105.0,
