country,iso,electricity_twh,population,demand_per_capita_kwh,solar_pct,wind_pct,hydro_pct,nuclear_pct,fossil_pct,renewables_pct
Iran,IRN,395.79,91567737.0,4296.164,0.227,0.316,4.768,1.857,92.824,5.318
Iraq,IRQ,149.73,46042015.0,3406.237,0.287,0.0,1.336,0.0,98.377,1.623
Ireland,IRL,31.08,5255016.0,6877.239,3.507,37.323,2.477,0.0,53.475,46.525
Israel,ISR,80.4,9387015.0,7883.23,13.085,0.572,0.012,0.0,86.194,13.806
Italy,ITA,267.56,59342870.0,5368.126,13.451,8.305,19.857,0.0,49.828,50.172
Jamaica,JAM,4.92,2839182.0,1732.894,3.049,5.894,2.439,0.0,87.398,12.602
Japan,JPN,1016.39,123753041.0,8213.051,9.514,1.135,7.817,8.354,68.711,22.935
Jordan,JOR,23.67,11552885.0,2054.032,16.603,7.393,0.084,0.0,75.919,24.081
Kazakhstan,KAZ,118.51,20592574.0,5872.02,1.578,4.143,9.493,0.0,84.786,15.214
Kenya,KEN,13.26,56432946.0,261.372,4.977,16.365,23.379,0.0,8.522,91.478
Kiribati,KIR,0.04,134521.0,297.351,25.0,0.0,0.0,0.0,75.0,25.0
Kuwait,KWT,92.49,4934508.0,18743.51,0.227,2.011,0.0,0.0,97.762,2.238
